        Node       x [um]       y [um]       z [um]       u [um]       v [um]       w [um]
         272        0.712        2.636       -0.026  -0.02610912  -0.00287620   0.01980015
         273        0.712        2.740       -0.026  -0.02351183  -0.00596114   0.01949096
         274        0.712        2.844       -0.026  -0.02109972  -0.00891608   0.01917217
         275        0.712        2.948       -0.026  -0.01896680  -0.01161144   0.01886845
         276        0.712        3.052       -0.026  -0.01716789  -0.01394096   0.01860343
         277        0.712        3.156       -0.026  -0.01573617  -0.01582257   0.01839848
         278        0.712        3.260       -0.026  -0.01468778  -0.01720073   0.01827154
         279        0.712        3.364       -0.026  -0.01403270  -0.01803445   0.01824333
         280        0.712        3.468       -0.026  -0.01389614  -0.01779044   0.01835493
         281        0.816       -0.068       -0.026   0.01223341   0.06874602   0.02060161
         282        0.816        0.036       -0.026   0.01213916   0.06854934   0.02050951
         283        0.816        0.140       -0.026   0.01157344   0.06766532   0.02047114
         284        0.816        0.244       -0.026   0.01071990   0.06639234   0.02047914
         285        0.816        0.348       -0.026   0.00957054   0.06472050   0.02052413
         286        0.816        0.452       -0.026   0.00811615   0.06265332   0.02059961
         287        0.816        0.556       -0.026   0.00634523   0.06019624   0.02069865
         288        0.816        0.660       -0.026   0.00424369   0.05736052   0.02081346
         289        0.816        0.764       -0.026   0.00179089   0.05415873   0.02093601
         290        0.816        0.868       -0.026  -0.00102839   0.05061747   0.02105704
         291        0.816        0.972       -0.026  -0.00422986   0.04676700   0.02116609
         292        0.816        1.076       -0.026  -0.00781376   0.04265954   0.02126063
         293        0.816        1.180       -0.026  -0.01176023   0.03837025   0.02133568
         294        0.816        1.284       -0.026  -0.01601036   0.03400162   0.02139332
         295        0.816        1.388       -0.026  -0.02045678   0.02968754   0.02144065
         296        0.816        1.492       -0.026  -0.02494139   0.02558316   0.02148811
         297        0.816        1.596       -0.026  -0.02925765   0.02184500   0.02154535
         298        0.816        1.700       -0.026  -0.03316930   0.01860567   0.02161927
         299        0.816        1.804       -0.026  -0.03643974   0.01593036   0.02170449
         300        0.816        1.908       -0.026  -0.03885886   0.01378285   0.02178185
         301        0.816        2.012       -0.026  -0.04027076   0.01201265   0.02182527
         302        0.816        2.116       -0.026  -0.04060258   0.01037592   0.02180838
         303        0.816        2.220       -0.026  -0.03988073   0.00859907   0.02171510
         304        0.816        2.324       -0.026  -0.03824377   0.00645914   0.02153652
         305        0.816        2.428       -0.026  -0.03591893   0.00385828   0.02127724
         306        0.816        2.532       -0.026  -0.03318043   0.00083880   0.02094757
         307        0.816        2.636       -0.026  -0.03029708  -0.00244680   0.02056640
         308        0.816        2.740       -0.026  -0.02748667  -0.00579535   0.02015686
         309        0.816        2.844       -0.026  -0.02490241  -0.00901087   0.01974780
         310        0.816        2.948       -0.026  -0.02264087  -0.01193820   0.01936569
         311        0.816        3.052       -0.026  -0.02075260  -0.01445444   0.01903692
         312        0.816        3.156       -0.026  -0.01926463  -0.01647780   0.01878388
         313        0.816        3.260       -0.026  -0.01818720  -0.01795300   0.01862390
         314        0.816        3.364       -0.026  -0.01752710  -0.01884405   0.01857750
         315        0.816        3.468       -0.026  -0.01738710  -0.01861805   0.01870163
         316        0.920       -0.068       -0.026   0.01349577   0.06877850   0.02130471
         317        0.920        0.036       -0.026   0.01339221   0.06856497   0.02120443
         318        0.920        0.140       -0.026   0.01281653   0.06767216   0.02117623
         319        0.920        0.244       -0.026   0.01195414   0.06638927   0.02120587
         320        0.920        0.348       -0.026   0.01079161   0.06470321   0.02128322
         321        0.920        0.452       -0.026   0.00931928   0.06261580   0.02140177
         322        0.920        0.556       -0.026   0.00751993   0.06012743   0.02155267
         323        0.920        0.660       -0.026   0.00537665   0.05724312   0.02172678
         324        0.920        0.764       -0.026   0.00286165   0.05397002   0.02191277
         325        0.920        0.868       -0.026  -0.00005283   0.05032785   0.02209963
         326        0.920        0.972       -0.026  -0.00339834   0.04633913   0.02227600
         327        0.920        1.076       -0.026  -0.00719854   0.04205007   0.02243152
         328        0.920        1.180       -0.026  -0.01145332   0.03753335   0.02256050
         329        0.920        1.284       -0.026  -0.01612011   0.03290059   0.02266397
         330        0.920        1.388       -0.026  -0.02109808   0.02830634   0.02274789
         331        0.920        1.492       -0.026  -0.02621553   0.02394392   0.02282853
         332        0.920        1.596       -0.026  -0.03123211   0.02002777   0.02292234
         333        0.920        1.700       -0.026  -0.03586444   0.01675192   0.02304106
         334        0.920        1.804       -0.026  -0.03982120   0.01423367   0.02317545
